CURIE,Identifier,Name,Equivalent Identifiers,Equivalent Name,Types,MicroKG_Name
NCBITaxon:877421,NCBITaxon:877421,Lachnospiraceae bacterium NK4A144,NCBITaxon:877421,Lachnospiraceae bacterium NK4A144,"biolink:OrganismTaxon, biolink:NamedThing",Lachnospiraceae bacterium NK4A144
NCBIGene:507984,NCBIGene:507984,ERCC3,"NCBIGene:507984, ENSEMBL:ENSBTAG00000020777, UniProtKB:Q1RMT1, ENSEMBL:ENSBTAP00000027687, ENSEMBL:ENSBTAP00000027687.4","ERCC3, No label, ERCC3_BOVIN General transcription and DNA repair factor IIH helicase/translocase subunit XPB (sprot), No label, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",ERCC3
CHEBI:133594,CHEBI:133594,isoeugenol sulfate,"CHEBI:133594, PUBCHEM.COMPOUND:122198202, INCHIKEY:HRHBRUPGUDLQIF-UHFFFAOYSA-N","isoeugenol sulfate, Isoeugenol sulfate, No label","biolink:SmallMolecule, biolink:MolecularEntity, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",isoeugenol sulfate
NCBITaxon:1305,NCBITaxon:1305,Streptococcus sanguinis,"NCBITaxon:1305, MESH:C000637881","Streptococcus sanguinis, [OBSOLETE] Streptococcus sanguinis","biolink:OrganismTaxon, biolink:NamedThing",Streptococcus sanguinis
NCBIGene:120419400,NCBIGene:120419400,LOC120419400,"NCBIGene:120419400, ENSEMBL:LOC120419400","LOC120419400, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",LOC120419400
NCBIGene:108684221,NCBIGene:108684221,LOC108684221,NCBIGene:108684221,LOC108684221,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",LOC108684221
EC:3.1.12.1,EC:3.1.12.1,"""5' to 3' exodeoxyribonuclease (nucleoside 3'-phosphate-forming)""",EC:3.1.12.1,"""5' to 3' exodeoxyribonuclease (nucleoside 3'-phosphate-forming)""","biolink:MolecularActivity, biolink:Occurrent, biolink:OntologyClass, biolink:BiologicalProcessOrActivity, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",\
NCBITaxon:1632013,NCBITaxon:1632013,Drancourtella massiliensis,"NCBITaxon:1632013, MESH:C000650766, UMLS:C4008460","Drancourtella massiliensis, Drancourtella massiliensis, Drancourtella massiliensis","biolink:OrganismTaxon, biolink:NamedThing",Drancourtella massiliensis
NCBIGene:126500037,NCBIGene:126500037,Rpl29,NCBIGene:126500037,Rpl29,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",Rpl29
MESH:C425067,MESH:C425067,4-hydroxyphenylacetate decarboxylase,"MESH:C425067, UMLS:C0965811","4-hydroxyphenylacetate decarboxylase, 4-hydroxyphenylacetate decarboxylase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",4-hydroxyphenylacetate decarboxylase
NCBITaxon:1680,NCBITaxon:1680,Bifidobacterium adolescentis,"NCBITaxon:1680, MESH:D000070005, UMLS:C0314972","Bifidobacterium adolescentis, Bifidobacterium adolescentis, Bifidobacterium adolescentis","biolink:OrganismTaxon, biolink:NamedThing",Bifidobacterium adolescentis
MESH:C490198,MESH:C490198,"PTP4A1 protein, human","MESH:C490198, UMLS:C1335552","PTP4A1 protein, human, PTP4A1 protein, human","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent","PTP4A1 protein, human"
NCBITaxon:39483,NCBITaxon:39483,Faecalitalea cylindroides,"NCBITaxon:39483, MESH:C000649163, UMLS:C0317485","Faecalitalea cylindroides, Faecalitalea cylindroides, Faecalitalea cylindroides","biolink:OrganismTaxon, biolink:NamedThing",Faecalitalea cylindroides
NCBITaxon:1852362,NCBITaxon:1852362,Bacteroides ihuae,"NCBITaxon:1852362, MESH:C000649734, UMLS:C4393198","Bacteroides ihuae, Bacteroides ihuae, Bacteroides ihuae","biolink:OrganismTaxon, biolink:NamedThing",Bacteroides ihuae
NCBITaxon:89014,NCBITaxon:89014,Blautia luti,"NCBITaxon:89014, MESH:C000648625, UMLS:C1187731","Blautia luti, Blautia luti, Blautia luti","biolink:OrganismTaxon, biolink:NamedThing",Blautia luti
NCBIGene:133457280,NCBIGene:133457280,cebpa,"NCBIGene:133457280, ENSEMBL:ENSLTZG00000023764","cebpa, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",cebpa
NCBIGene:47103107,NCBIGene:47103107,potE,"NCBIGene:47103107, UniProtKB:A0A0C1ZC88, UniProtKB:A0A812I0L9","potE, A0A0C1ZC88_9VIBR Putrescine transporter PotE (trembl), A0A812I0L9_9VIBR Putrescine transporter PotE (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",potE
NCBITaxon:93975,NCBITaxon:93975,Bacteroides sp. AR29,NCBITaxon:93975,Bacteroides sp. AR29,"biolink:OrganismTaxon, biolink:NamedThing",Bacteroides sp. AR29
PANTHER.FAMILY:PTHR10221,PANTHER.FAMILY:PTHR10221,TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 6,PANTHER.FAMILY:PTHR10221,TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 6,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 6
NCBIGene:1208801,NCBIGene:1208801,ispZ,"NCBIGene:1208801, UniProtKB:Q83D36","ispZ, YCIB_COXBU Inner membrane-spanning protein YciB (sprot)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",ispZ
UMLS:C0312322,UMLS:C0312322,2-methylcitrate dehydratase,UMLS:C0312322,2-methylcitrate dehydratase,"biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",2-methylcitrate dehydratase
NCBITaxon:1573536,NCBITaxon:1573536,Faecalicoccus,NCBITaxon:1573536,Faecalicoccus,"biolink:OrganismTaxon, biolink:NamedThing",Faecalicoccus
UMLS:C4151861,UMLS:C4151861,Faecalibaculum,UMLS:C4151861,Faecalibaculum,"biolink:OrganismTaxon, biolink:NamedThing",Faecalibaculum
CHEBI:133178,CHEBI:133178,6-ketopiperidine-2-carboxylate,"CHEBI:133178, PUBCHEM.COMPOUND:22566435, INCHIKEY:FZXCPFJMYOQZCA-UHFFFAOYSA-M","6-ketopiperidine-2-carboxylate, 6-Oxopiperidine-2-carboxylate, No label","biolink:SmallMolecule, biolink:MolecularEntity, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",6-ketopiperidine-2-carboxylate
MESH:C485733,MESH:C485733,"SLK protein, human","MESH:C485733, UMLS:C1436751","SLK protein, human, SLK protein, human","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent","SLK protein, human"
NCBIGene:29113754,NCBIGene:29113754,CC77DRAFT_1058721,"NCBIGene:29113754, UniProtKB:A0A177DU19","CC77DRAFT_1058721, A0A177DU19_ALTAL Polyketide synthase PksJ (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",CC77DRAFT_1058721
CHEBI:83066,CHEBI:83066,dihomolinoleate,"CHEBI:83066, PUBCHEM.COMPOUND:25789733, INCHIKEY:GKJZMAHZJGSBKD-JPDBVBESSA-M","dihomolinoleate, Dihomolinoleate, No label","biolink:SmallMolecule, biolink:MolecularEntity, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",dihomolinoleate
MESH:C018722,MESH:C018722,N-acetyl-gamma-glutamyl-phosphate reductase,"MESH:C018722, UMLS:C0311614","N-acetyl-gamma-glutamyl-phosphate reductase, N-Acetyl-gamma-glutamyl-phosphate reductase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",N-acetyl-gamma-glutamyl-phosphate reductase
RHEA:18397,RHEA:18397,ATP + L-glutamate + tRNA(Glx) = AMP + diphosphate + L-glutamyl-tRNA(Glx),"RHEA:18397, EC:6.1.1.24","ATP + L-glutamate + tRNA(Glx) = AMP + diphosphate + L-glutamyl-tRNA(Glx), ""glutamate--tRNA(Gln) ligase""","biolink:MolecularActivity, biolink:Occurrent, biolink:OntologyClass, biolink:BiologicalProcessOrActivity, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",ATP + L-glutamate + tRNA(Glx) = AMP + diphosphate + L-glutamyl-tRNA(Glx)
UMLS:C1210566,UMLS:C1210566,Eubacteriaceae,UMLS:C1210566,Eubacteriaceae,"biolink:OrganismTaxon, biolink:NamedThing",Eubacteriaceae
NCBITaxon:1805714,NCBITaxon:1805714,Christensenella massiliensis,"NCBITaxon:1805714, MESH:C000650854, UMLS:C4119701","Christensenella massiliensis, Christensenella massiliensis, Christensenella massiliensis","biolink:OrganismTaxon, biolink:NamedThing",Christensenella massiliensis
NCBITaxon:1035308,NCBITaxon:1035308,Dehalobacter sp. FTH1,NCBITaxon:1035308,Dehalobacter sp. FTH1,"biolink:OrganismTaxon, biolink:NamedThing",Dehalobacter sp. FTH1
PANTHER.FAMILY:PTHR42886:SF34,PANTHER.FAMILY:PTHR42886:SF34,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE ABHD5,PANTHER.FAMILY:PTHR42886:SF34,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE ABHD5,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE ABHD5
NCBIGene:11639534,NCBIGene:11639534,pcaU,"NCBIGene:11639534, UniProtKB:F0KF71","pcaU, F0KF71_ACICP IclR family transcriptional regulator, pca regulon regulatory protein (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",pcaU
PANTHER.FAMILY:PTHR13516:SF8,PANTHER.FAMILY:PTHR13516:SF8,RIBONUCLEASE P PROTEIN SUBUNIT P25-LIKE PROTEIN,PANTHER.FAMILY:PTHR13516:SF8,RIBONUCLEASE P PROTEIN SUBUNIT P25-LIKE PROTEIN,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",RIBONUCLEASE P PROTEIN SUBUNIT P25-LIKE PROTEIN
NCBITaxon:1965655,NCBITaxon:1965655,Faecalibacterium sp. An77,NCBITaxon:1965655,Faecalibacterium sp. An77,"biolink:OrganismTaxon, biolink:NamedThing",Faecalibacterium sp. An77
NCBIGene:25315401,NCBIGene:25315401,T310_3051,"NCBIGene:25315401, UniProtKB:A0A0F4YXI0","T310_3051, A0A0F4YXI0_TALEM Succinate-semialdehyde dehydrogenase (NAD(+)) (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",T310_3051
NCBIGene:879143,NCBIGene:879143,arnB,"NCBIGene:879143, UniProtKB:Q9HY65","arnB, ARNB_PSEAE UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (sprot)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",arnB
NCBIGene:32119,NCBIGene:32119,bif,"NCBIGene:32119, ENSEMBL:FBgn0014133, FB:FBgn0014133, UniProtKB:M9PGW8, UniProtKB:M9PHA0, UniProtKB:M9PHL6, UniProtKB:Q8IR86, UniProtKB:Q9VYV8","bif, No label, bif, M9PGW8_DROME Bifocal, isoform D (trembl), M9PHA0_DROME Bifocal, isoform F (trembl), M9PHL6_DROME Bifocal, isoform E (trembl), Q8IR86_DROME Bifocal, isoform B (trembl), Q9VYV8_DROME Bifocal, isoform C (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",bif
PANTHER.FAMILY:PTHR45615:SF13,PANTHER.FAMILY:PTHR45615:SF13,UNCONVENTIONAL MYOSIN-XVIIIA,PANTHER.FAMILY:PTHR45615:SF13,UNCONVENTIONAL MYOSIN-XVIIIA,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",UNCONVENTIONAL MYOSIN-XVIIIA
MESH:C021386,MESH:C021386,4-hydroxybenzoate polyprenyltransferase,"MESH:C021386, UMLS:C0048322","4-hydroxybenzoate polyprenyltransferase, 4-hydroxybenzoate polyprenyltransferase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",4-hydroxybenzoate polyprenyltransferase
MESH:C105231,MESH:C105231,nucleoredoxin,"MESH:C105231, UMLS:C0537506","nucleoredoxin, nucleoredoxin","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",nucleoredoxin
PANTHER.FAMILY:PTHR44991:SF1,PANTHER.FAMILY:PTHR44991:SF1,IMMUNOGLOBULIN SUPERFAMILY MEMBER 5,PANTHER.FAMILY:PTHR44991:SF1,IMMUNOGLOBULIN SUPERFAMILY MEMBER 5,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",IMMUNOGLOBULIN SUPERFAMILY MEMBER 5
NCBIGene:26643534,NCBIGene:26643534,004,"NCBIGene:26643534, UniProtKB:F8SJN5","004, F8SJN5_BPPA3 Uncharacterized protein 004 (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",004
PANTHER.FAMILY:PTHR34095,PANTHER.FAMILY:PTHR34095,"39S RIBOSOMAL PROTEIN L55, MITOCHONDRIAL",PANTHER.FAMILY:PTHR34095,"39S RIBOSOMAL PROTEIN L55, MITOCHONDRIAL","biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing","39S RIBOSOMAL PROTEIN L55, MITOCHONDRIAL"
NCBITaxon:487,NCBITaxon:487,Neisseria meningitidis,"NCBITaxon:487, MESH:D009345, UMLS:C0027575","Neisseria meningitidis, Neisseria meningitidis, Neisseria meningitidis","biolink:OrganismTaxon, biolink:NamedThing",Neisseria meningitidis
NCBIGene:73328687,NCBIGene:73328687,ColSpa_07885,NCBIGene:73328687,ColSpa_07885,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",ColSpa_07885
PANTHER.FAMILY:PTHR11616:SF141,PANTHER.FAMILY:PTHR11616:SF141,SODIUM- AND CHLORIDE-DEPENDENT TAURINE TRANSPORTER,PANTHER.FAMILY:PTHR11616:SF141,SODIUM- AND CHLORIDE-DEPENDENT TAURINE TRANSPORTER,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",SODIUM- AND CHLORIDE-DEPENDENT TAURINE TRANSPORTER
NCBITaxon:426129,NCBITaxon:426129,Alkaliphilus peptidifermentans,"NCBITaxon:426129, MESH:C000648714, UMLS:C2759164","Alkaliphilus peptidifermentans, Alkaliphilus peptidifermentans, Alkaliphilus peptidifermentans","biolink:OrganismTaxon, biolink:NamedThing",Alkaliphilus peptidifermentans
NCBITaxon:1653434,NCBITaxon:1653434,Sellimonas intestinalis,"NCBITaxon:1653434, MESH:C000635389, UMLS:C4193465","Sellimonas intestinalis, Sellimonas intestinalis, Sellimonas intestinalis","biolink:OrganismTaxon, biolink:NamedThing",Sellimonas intestinalis
UniProtKB:Q9GZT9,NCBIGene:54583,EGLN1,"NCBIGene:54583, ENSEMBL:ENSG00000135766, HGNC:1232, OMIM:606425, UMLS:C1412925, UniProtKB:Q9GZT9, PR:Q9GZT9, UMLS:C3540623, UniProtKB:R4SCQ0","EGLN1, No label, EGLN1, No label, EGLN1 gene, EGLN1_HUMAN Egl nine homolog 1 (sprot), egl nine homolog 1 (human), Egl Nine Homolog 1, R4SCQ0_HUMAN hypoxia-inducible factor-proline dioxygenase (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",EGLN1_HUMAN Egl nine homolog 1 (sprot)
